City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
240,Kupang,ID,77.86,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
243,Birjand,IR,77.09,clear sky,32.8663,59.2211,Birjand Tourist Hotel
244,Sabang,ID,83.07,scattered clouds,5.8933,95.3214,Hotel Citra
245,Kavieng,PG,80.73,light rain,-2.5744,150.7967,Nusa Island Retreat
252,Rafraf,TN,84.51,broken clouds,37.1904,10.1837,Les Jardins de la Mer Ghar el Melh
255,Santa Maria Del Oro,MX,85.21,scattered clouds,25.9333,-105.3667,Hotel Palacio Del Sol
256,Voskresenskoye,RU,75.38,overcast clouds,56.8381,45.4317,AOM OTABIXA ВОСКРЕСЕНСКОЕ ОДМОСКОВЬЕ
259,Luba,GQ,78.96,overcast clouds,3.4568,8.5547,
260,Burns Lake,CA,85.01,clear sky,54.2331,-125.7533,Burns Lake Bed and Breakfast
265,Vilhena,BR,84.06,few clouds,-12.7406,-60.1458,Hotel Mirage
267,Ambon,ID,75.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
275,Sibolga,ID,75.45,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
279,Leamington,CA,86.0,scattered clouds,42.0549,-82.6062,Seacliffe Inn (The)
281,Hue,VN,87.91,few clouds,16.4667,107.6,Saigon Morin Hotel
287,Itanagar,IN,76.75,overcast clouds,27.1,93.6167,OYO 45507 Hotel Moomsie
289,Matamoros,MX,87.91,broken clouds,25.5333,-103.25,Quinta Belem
290,Labuhan,ID,79.3,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
296,Rosetta,EG,79.45,clear sky,31.4044,30.4164,Green Valley
297,Saquarema,BR,80.64,clear sky,-22.92,-42.5103,Hotel Fazenda Sol e Lua
299,Kudahuvadhoo,MV,82.87,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
302,Maua,BR,78.6,clear sky,-23.6678,-46.4614,Hotel Capriccio Mauá
304,Soyo,AO,75.09,broken clouds,-6.1349,12.3689,Hotel Mpampa
305,Honiara,SB,76.41,overcast clouds,-9.4333,159.95,Heritage Park Hotel
306,Russell,US,87.08,scattered clouds,32.3502,-85.1999,Macs
311,Dobrinka,RU,79.86,scattered clouds,52.1653,40.4731,Ковчег
314,Biak,ID,75.29,scattered clouds,-0.9131,122.8766,Penginapan Kim
318,Buala,SB,78.64,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
324,Kamenka,RU,76.82,broken clouds,51.3223,42.7678,
327,Domoni,KM,75.78,broken clouds,-12.2569,44.5319,Al Djadid
328,Caravelas,BR,77.11,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
332,Tecoanapa,MX,80.49,overcast clouds,16.5167,-98.75,Hotel Manglares
338,Bara,NG,85.5,overcast clouds,10.3744,10.7288,
345,Najran,SA,87.75,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
346,Jawhar,SO,76.19,overcast clouds,2.7809,45.5005,hantiwadaag village part one
348,Houma,US,86.0,overcast clouds,29.5958,-90.7195,Courtyard by Marriott Houma
350,Villeta,CO,86.61,scattered clouds,5.0089,-74.4723,Hotel Villeta Suite
353,Kloulklubed,PW,83.37,broken clouds,7.0419,134.2556,Storyboard Beach Resort
355,Sura,RU,75.7,broken clouds,53.8879,45.7419,
357,Kuzovatovo,RU,75.54,broken clouds,53.5468,47.6866,"Гостиница ""На Садовой"""
366,Huai Yot,TH,75.56,overcast clouds,7.7893,99.6348,สาม
