City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Hermanus,ZA,2021-06-13 16:56:57,-34.4187,19.2345,58.89,87,87,6.67
68,Auray,FR,2021-06-13 16:56:57,47.6703,-2.9918,83.48,52,0,3.0
69,Agutaya,PH,2021-06-13 16:56:57,11.148,120.9417,82.4,69,98,3.78
70,Nouadhibou,MR,2021-06-13 16:56:57,20.931,-17.0347,78.78,57,100,19.57
71,Olafsvik,IS,2021-06-13 16:56:58,64.8945,-23.7142,43.9,72,100,17.25
72,Rio Gallegos,AR,2021-06-13 16:54:50,-51.6226,-69.2181,37.45,75,0,14.97
73,Vila,PT,2021-06-13 16:56:58,42.0304,-8.1588,70.68,83,62,5.66
74,Arlit,NE,2021-06-13 16:56:58,18.7369,7.3853,106.41,7,0,13.82
75,Coquimbo,CL,2021-06-13 16:56:59,-29.9533,-71.3436,58.73,67,20,5.75
76,Eureka,US,2021-06-13 16:56:59,40.8021,-124.1637,75.74,68,84,3.0
77,Rameswaram,IN,2021-06-13 16:56:59,9.2833,79.3,85.73,73,100,21.59
78,Fare,PF,2021-06-13 16:57:00,-16.7,-151.0167,79.88,79,6,17.94
79,Lac Du Bonnet,CA,2021-06-13 16:57:00,50.2536,-96.0612,74.75,49,3,9.64
80,Souillac,MU,2021-06-13 16:57:00,-20.5167,57.5167,75.58,69,75,16.11
81,Teluknaga,ID,2021-06-13 16:57:01,-6.0989,106.6381,82.62,78,20,5.99
82,Pervomayskiy,RU,2021-06-13 16:57:01,53.2485,40.2871,65.26,81,68,4.92
83,Provideniya,RU,2021-06-13 16:57:01,64.3833,-173.3,36.23,97,100,12.95
84,Cabo San Lucas,MX,2021-06-13 16:57:01,22.8909,-109.9124,89.51,66,100,5.23
85,Cao Bang,VN,2021-06-13 16:57:02,22.6667,106.25,74.86,97,36,1.97
86,Cairns,AU,2021-06-13 16:54:52,-16.9167,145.7667,74.07,94,90,4.61
87,Minatitlan,MX,2021-06-13 16:57:02,17.9833,-94.5167,87.1,65,81,3.06
88,Esperance,AU,2021-06-13 16:57:03,-33.8667,121.9,53.44,73,18,13.02
89,Atuona,PF,2021-06-13 16:57:03,-9.8,-139.0333,79.65,76,57,18.34
90,Lasa,IT,2021-06-13 16:57:03,46.6166,10.7002,74.14,60,40,6.35
91,Cotonou,BJ,2021-06-13 16:57:04,6.3654,2.4183,85.98,74,40,8.05
92,Jamestown,US,2021-06-13 16:56:48,42.097,-79.2353,82.29,71,10,7.05
93,Nome,US,2021-06-13 16:53:44,64.5011,-165.4064,43.16,93,90,3.44
94,Mount Gambier,AU,2021-06-13 16:57:04,-37.8333,140.7667,49.91,81,83,6.91
95,Kanye,BW,2021-06-13 16:57:05,-24.9667,25.3327,60.08,29,3,3.29
96,Puerto Ayora,EC,2021-06-13 16:57:05,-0.7393,-90.3518,80.56,85,93,4.0
97,Carutapera,BR,2021-06-13 16:57:06,-1.195,-46.02,85.82,64,24,7.34
98,Lorengau,PG,2021-06-13 16:57:06,-2.0226,147.2712,81.16,81,20,6.08
99,Georgetown,MY,2021-06-13 16:57:06,5.4112,100.3354,83.89,86,20,1.99
100,Qaanaaq,GL,2021-06-13 16:57:07,77.484,-69.3632,37.09,80,23,1.79
101,Palaiokomi,GR,2021-06-13 16:57:07,40.8667,23.9,70.84,71,100,1.52
